,melid,bar,beat,target,prediction_no_melody,prediction_with_melody,notes
64,1,0,0,C-6,C-6,C-6,0
65,1,0,0,F6,F6,F6,0
66,1,0,0,Bb-7,Bb-7,Bb-7,0
67,1,0,0,G6,G6,G6,0
68,1,0,0,C-6,C-6,C-6,0
69,1,0,0,F6,F6,F6,0
70,1,0,0,B7#5,Bb-7,Bb-7,0
71,1,0,0,G-6,G6,G6,0
72,1,0,0,C-6,C-6,C-6,0
73,1,0,0,F6,F6,F6,0
74,1,0,0,F-6,F-6,Bb-7,0
75,1,0,0,Bb6,Bb6,Bb6,0
76,1,0,0,Eb6,Eb6,Eb6,0
77,1,0,0,Ab6,Ab6,Ab6,0
78,1,0,0,C-6,D-6,C-6,0
79,1,0,0,F6,F6,F6,0
80,1,0,0,Bb-7,Bb-7,Bb-7,0
81,1,0,0,D6,G6,G6,0
82,1,0,0,G6,G6,G6,0
83,1,0,0,C6,C6,C6,0
84,1,0,0,F6,F6,F6,0
85,1,0,0,B7#5,Bb-7,Bb-7,0
86,1,0,0,G6,G6,G6,0
87,1,0,0,C-6,C-6,C-6,0
88,1,0,0,F6,F6,F6,0
89,1,0,0,B7#5,Bb-7,Bb-7,0
90,1,0,0,G-6,G6,G6,0
91,1,0,0,C-6,C-6,C-6,0
92,1,0,0,F6,F6,F6,0
93,1,0,0,F-6,F-6,Bb-7,0
94,1,0,0,Bb6,Bb6,Bb6,0
95,1,0,0,Eb6,Eb6,Eb6,0
96,1,0,0,Ab6,Ab6,Ab6,0
97,1,0,0,C-6,D-6,C-6,0
98,1,0,0,F6,F6,F6,0
99,1,0,0,Bb-7,Bb-7,Bb-7,0
100,1,0,0,Bb-7,G6,G6,0
101,1,0,0,G6,G6,G6,0
102,1,0,0,C-6,C-6,C-6,0
103,1,0,0,F6,F6,F6,0
104,1,0,0,B7#5,Bb-7,Bb-7,0
105,1,0,0,G-6,G6,G6,0
106,1,0,0,C-6,C-6,C-6,0
107,1,0,0,F6,F6,F6,0
108,1,0,0,F-6,F-6,Bb-7,0
109,1,0,0,Bb6,Bb6,Bb6,0
110,1,0,0,Eb6,Eb6,Eb6,0
111,1,0,0,Ab6,Ab6,Ab6,0
112,1,0,0,D-6,D-6,C-6,0
113,1,0,0,G6,G6,G6,0
114,1,0,0,C-6,C-6,C-6,0
115,1,0,0,F6,F6,F6,0
116,1,0,0,Bb-7,Bb-7,Bb-7,0
117,1,0,0,G6,G6,G6,0
118,1,0,0,C-6,C-6,C-6,0
119,1,0,0,F6,F6,F6,0
120,1,0,0,B7#5,Bb-7,Bb-7,0
121,1,0,0,G-6,G6,G6,0
122,1,0,0,C-6,C-6,C-6,0
123,1,0,0,F6,F6,F6,0
124,1,0,0,F-6,F-6,Bb-7,0
125,1,0,0,Bb6,Bb6,Bb6,0
126,1,0,0,Eb6,Eb6,Eb6,0
127,1,0,0,Ab6,Ab6,Ab6,0
128,1,0,0,C-6,D-6,D-6,0
129,1,0,0,F6,F6,F6,0
130,1,0,0,Bb-7,Bb-7,Bb-7,0
131,1,0,0,D6,G6,G6,0
132,1,0,0,G6,G6,G6,0
133,1,0,0,C6,C6,C6,0
134,1,0,0,F6,F6,F6,0
135,1,0,0,B7#5,Bb-7,Bb-7,0
136,1,0,0,G6,G6,G6,0
137,1,0,0,C-6,C-6,C-6,0
138,1,0,0,F6,F6,F6,0
139,1,0,0,B7#5,Bb-7,Bb-7,0
140,1,0,0,G-6,G6,G6,0
141,1,0,0,C-6,C-6,C-6,0
142,1,0,0,F6,F6,F6,0
143,1,0,0,F-6,F-6,Bb-7,0
144,1,0,0,Bb6,Bb6,Bb6,0
145,1,0,0,Eb6,Eb6,Eb6,0
146,1,0,0,Ab6,Ab6,Ab6,0
147,1,0,0,C-6,D-6,D-6,0
148,1,0,0,F6,F6,F6,0
149,1,0,0,Bb-7,Bb-7,Bb-7,0
150,1,0,0,Bb-7,G6,G6,0
151,1,0,0,G6,G6,D-6,0
152,1,0,0,C-6,C-6,C-6,0
153,1,0,0,F6,F6,F6,0
154,1,0,0,B7#5,Bb-7,Bb-7,0
155,1,0,0,G-6,G6,G6,0
156,1,0,0,C-6,C-6,C-6,0
157,1,0,0,F6,F6,F6,0
158,1,0,0,F-6,F-6,F-6,0
159,1,0,0,Bb6,Bb6,Bb6,0
160,1,0,0,Eb6,Eb6,Eb6,0
161,1,0,0,Ab6,Ab6,Ab6,0
162,1,0,0,D-6,D-6,C-6,0
163,1,0,0,G6,G6,G6,0
164,1,0,0,C-6,C-6,C-6,0
165,1,0,0,F6,F6,F6,0
166,1,0,0,Bb-7,Bb-7,Bb-7,0
167,1,0,0,G6,G6,G6,0
168,1,0,0,C-6,C-6,C-6,0
169,1,0,0,F6,F6,F6,0
170,1,0,0,B7#5,Bb-7,Bb-7,0
171,1,0,0,G-6,G6,G6,0
172,1,0,0,C-6,C-6,C-6,0
173,1,0,0,F6,F6,F6,0
174,1,0,0,F-6,F-6,Bb-7,0
175,1,0,0,Bb6,Bb6,Bb6,0
176,1,0,0,Eb6,Eb6,Eb6,0
177,1,0,0,Ab6,Ab6,Ab6,0
178,1,0,0,C-6,D-6,C-6,0
179,1,0,0,F6,F6,F6,0
180,1,0,0,Bb-7,Bb-7,Bb-7,0
181,1,0,0,D6,G6,G6,0
182,1,0,0,G6,G6,G6,0
183,1,0,0,C6,C6,C6,0
184,1,0,0,F6,F6,F6,0
185,1,0,0,B7#5,Bb-7,Bb-7,0
186,1,0,0,G6,G6,G6,0
187,1,0,0,C-6,C-6,C-6,0
188,1,0,0,F6,F6,F6,0
189,1,0,0,B7#5,Bb-7,Bb-7,0
190,1,0,0,G-6,G6,G6,0
191,1,0,0,C-6,C-6,C-6,0
192,1,0,0,F6,F6,F6,0
193,1,0,0,F-6,F-6,Bb-7,0
194,1,0,0,Bb6,Bb6,Bb6,0
195,1,0,0,Eb6,Eb6,Eb6,0
196,1,0,0,Ab6,Ab6,Ab6,0
197,1,0,0,C-6,D-6,C-6,0
198,1,0,0,F6,F6,F6,0
199,1,0,0,Bb-7,Bb-7,Bb-7,0
200,1,0,0,Bb-7,G6,D-6,0
201,2,0,0,Ab6,Bb6,Ab6,0
202,2,0,0,Eb6,Eb6,Eb6,0
203,2,0,0,Ab6,Ab6,Ab6,0
204,2,0,0,Eb6,Eb6,Eb6,0
205,2,0,0,F-6,Ab6,C6,0
206,2,0,0,Bb6,Bb6,Bb6,0
207,2,0,0,Eb6,Eb6,Eb6,0
208,2,0,0,Bb6,Bb6,Ab6,0
209,2,0,0,Eb6,Eb6,Eb6,0
210,2,0,0,Ab6,Bb6,Ab6,0
211,2,0,0,Eb6,Eb6,Eb6,0
212,2,0,0,Ab6,Ab6,C6,0
213,2,0,0,Eb6,Eb6,Eb6,0
214,2,0,0,C6,Ab6,C6,0
215,2,0,0,F-6,F-6,F-6,0
216,2,0,0,Bb6,Bb6,Bb6,0
217,2,0,0,Eb6,Eb6,Eb6,0
218,2,0,0,Bb6,Eb6,Eb6,0
219,2,0,0,Eb6,Eb6,Eb6,0
220,2,0,0,Ab6,Bb6,Ab6,0
221,2,0,0,Eb6,Eb6,Eb6,0
222,2,0,0,Ab6,Ab6,Ab6,0
223,2,0,0,Eb6,Eb6,Eb6,0
224,2,0,0,C6,Ab6,C6,0
225,2,0,0,F-6,F-6,F-6,0
226,2,0,0,Bb6,Bb6,Bb6,0
227,2,0,0,Eb6,Eb6,Eb6,0
228,2,0,0,Bb6,Eb6,Eb6,0
229,2,0,0,Eb6,Eb6,Eb6,0
230,2,0,0,Ab6,Bb6,Ab6,0
231,2,0,0,Eb6,Eb6,Eb6,0
232,2,0,0,Ab6,Ab6,Ab6,0
233,2,0,0,Eb6,Eb6,Eb6,0
234,2,0,0,C6,Ab6,C6,0
235,2,0,0,F-6,F-6,F-6,0
236,2,0,0,Bb6,Bb6,Bb6,0
237,2,0,0,Eb6,Eb6,Eb6,0
238,2,0,0,Bb6,Eb6,Ab6,0
239,2,0,0,Eb6,Eb6,Eb6,0
240,2,0,0,Ab6,Bb6,Eb6,0
241,2,0,0,Eb6,Eb6,Eb6,0
242,2,0,0,Ab6,Ab6,Ab6,0
243,2,0,0,Eb6,Eb6,Eb6,0
244,2,0,0,C6,Ab6,C6,0
245,2,0,0,F-6,F-6,F-6,0
246,2,0,0,Bb6,Bb6,Bb6,0
247,2,0,0,Eb6,Eb6,Eb6,0
248,2,0,0,Bb6,Eb6,Ab6,0
249,2,0,0,Eb6,Eb6,Eb6,0
250,2,0,0,Ab6,Bb6,Eb6,0
251,2,0,0,Eb6,Eb6,Eb6,0
252,2,0,0,Ab6,Ab6,Ab6,0
253,2,0,0,Eb6,Eb6,Eb6,0
254,2,0,0,C6,Ab6,C6,0
255,2,0,0,F-6,F-6,F-6,0
256,2,0,0,Bb6,Bb6,Bb6,0
257,2,0,0,Eb6,Eb6,Eb6,0
258,2,0,0,Bb6,Eb6,Eb6,0
259,2,0,0,Eb6,Eb6,Eb6,0
260,2,0,0,Ab6,Bb6,Eb6,0
261,2,0,0,Eb6,Eb6,Eb6,0
262,2,0,0,Ab6,Ab6,Ab6,0
263,2,0,0,Eb6,Eb6,Eb6,0
264,2,0,0,C6,Ab6,C6,0
265,2,0,0,F-6,F-6,F-6,0
266,2,0,0,Bb6,Bb6,Bb6,0
267,2,0,0,Eb6,Eb6,Eb6,0
268,2,0,0,Bb6,Eb6,Eb6,0
269,2,0,0,Eb6,Eb6,Eb6,0
270,2,0,0,Ab6,Bb6,Eb6,0
271,2,0,0,Eb6,Eb6,Eb6,0
272,2,0,0,Ab6,Ab6,C6,0
273,2,0,0,Eb6,Eb6,Eb6,0
274,2,0,0,C6,Ab6,C6,0
275,2,0,0,F-6,F-6,F-6,0
276,2,0,0,Bb6,Bb6,Bb6,0
277,2,0,0,Eb6,Eb6,Eb6,0
278,2,0,0,Bb6,Eb6,Ab6,0
279,2,0,0,Eb6,Eb6,Eb6,0
280,2,0,0,Ab6,Bb6,Eb6,0
281,2,0,0,Eb6,Eb6,Eb6,0
282,2,0,0,Ab6,Ab6,C6,0
283,2,0,0,Eb6,Eb6,Eb6,0
284,2,0,0,C6,Ab6,C6,0
285,2,0,0,F-6,F-6,F-6,0
286,2,0,0,Bb6,Bb6,Bb6,0
287,2,0,0,Eb6,Eb6,Eb6,0
288,2,0,0,Bb6,Eb6,Ab6,0
289,2,0,0,Eb6,Eb6,Eb6,0
290,2,0,0,Ab6,Bb6,Eb6,0
291,2,0,0,Eb6,Eb6,Eb6,0
292,2,0,0,Ab6,Ab6,C6,0
293,2,0,0,Eb6,Eb6,Eb6,0
294,2,0,0,C6,Ab6,C6,0
295,2,0,0,F-6,F-6,F-6,0
296,2,0,0,Bb6,Bb6,Bb6,0
297,2,0,0,Eb6,Eb6,Eb6,0
298,2,0,0,Bb6,Eb6,Eb6,0
299,2,0,0,Eb6,Eb6,Eb6,0
300,2,0,0,Ab6,Bb6,Eb6,0
301,2,0,0,Eb6,Eb6,Eb6,0
302,2,0,0,Ab6,Ab6,Ab6,0
303,2,0,0,Eb6,Eb6,Eb6,0
304,2,0,0,C6,Ab6,Eb6,0
305,2,0,0,F-6,F-6,F-6,0
306,2,0,0,Bb6,Bb6,Bb6,0
307,2,0,0,Eb6,Eb6,Eb6,0
308,2,0,0,Bb6,Eb6,Ab6,0
309,2,0,0,Eb6,Eb6,Eb6,0
310,3,0,0,Fm7b5,F6,F6,0
311,3,0,0,G6,Bb6,Edim7,0
312,3,0,0,G-6,C6,C6,0
313,3,0,0,C6,C6,C6,0
314,3,0,0,Adim7,Fm7b5,Fm7b5,0
315,3,0,0,D6,D6,D6,0
316,3,0,0,G-6,G-6,G-6,0
317,3,0,0,A6,C6,C6,0
318,3,0,0,D6,D6,D6,0
319,3,0,0,D6,G6,Bdim7,0
320,3,0,0,G6,G6,G-6,0
321,3,0,0,Gbm7b5,C6,C6,0
322,3,0,0,Fm7b5,G6,Fm7b5,0
323,3,0,0,G6,F-6,Edim7,0
324,3,0,0,G-6,Cm7b5,G-6,0
325,3,0,0,C6,C6,C6,0
326,3,0,0,Adim7,Fm7b5,Fm7b5,0
327,3,0,0,D6,D6,D6,0
328,3,0,0,G-6,G6,G-6,0
329,3,0,0,Bb,C6,C6,0
330,3,0,0,A-6,Eb6,G-6,0
331,3,0,0,Bdim7,D6,D6,0
332,3,0,0,E6,E6,E6,0
333,3,0,0,Am7b5,A-6,E6,0
334,3,0,0,Bbdim,D6,Fm7b5,0
335,3,0,0,B-,A-6,G-6,0
336,3,0,0,E6,E6,E6,0
337,3,0,0,Am7b5,A-6,A-6,0
338,3,0,0,F#-,D6,Fm7b5,0
339,3,0,0,B-,Db6,B-7,0
340,3,0,0,E6,E6,E6,0
341,3,0,0,Cm7b5,A-6,A-6,0
342,3,0,0,C#dim,Fm7b5,A-6,0
343,3,0,0,D-6,C-6,E6,0
344,3,0,0,G6,G6,G6,0
345,3,0,0,G-6,Cm7b5,G-6,0
346,3,0,0,Adim7,C6,C6,0
347,3,0,0,D6,D6,D6,0
348,3,0,0,G-6,G-6,G-6,0
349,3,0,0,C6,C6,C6,0
350,3,0,0,Fm7b5,Fm7b5,Fm7b5,0
351,3,0,0,G6,Edim7,Fm7b5,0
352,3,0,0,G-6,G-6,G-6,0
353,3,0,0,C6,C6,C6,0
354,3,0,0,Adim7,Fm7b5,Fm7b5,0
355,3,0,0,D6,D6,D6,0
356,3,0,0,G-6,G-6,G-6,0
357,3,0,0,A6,C6,C6,0
358,3,0,0,D6,D6,D6,0
359,3,0,0,D6,G-6,G-6,0
360,3,0,0,G6,G6,G-6,0
361,3,0,0,Gbm7b5,G-6,G-6,0
362,3,0,0,G-6,G-6,Fm7b5,0
363,3,0,0,Bb,C6,C6,0
364,3,0,0,A-6,G-6,G-6,0
365,3,0,0,Bdim7,D6,D6,0
366,3,0,0,E6,E6,E6,0
367,4,0,0,F6,Bb6,C6,0
368,4,0,0,Bb6,Bb6,Bbm7b5,0
369,4,0,0,Eb-maj7,F6,Ebm7b5,0
370,4,0,0,Bb-6,Bb6,C6,0
371,4,0,0,Eb6,Eb6,Eb6,0
372,4,0,0,Abm7b5,A7#5,D6,0
373,4,0,0,Ab-7,Bb6,G6,0
374,4,0,0,Db6,Bb6,Db6,0
375,4,0,0,Eb-maj7,Gb-7,C6,0
376,4,0,0,C6,Bb-6,F-6,0
377,4,0,0,F6,F-6,Esus47,0
378,4,0,0,Bb6,Bb6,Bb6,0
379,4,0,0,C6,Eb6,Bb-6,0
380,4,0,0,F6,F6,F6,0
381,4,0,0,Bb6,Bb6,Bbm7b5,0
382,4,0,0,Eb-maj7,Eb6,Bb-6,0
383,4,0,0,Bb-6,Bb6,F-6,0
384,4,0,0,Eb6,Eb6,Eb6,0
385,4,0,0,Abm7b5,A7#5,Abm7b5,0
386,4,0,0,Ab6,F6,G6,0
387,4,0,0,Adim,Db6,Db6,0
388,4,0,0,Eb-maj7,Eb6,Bb-6,0
389,4,0,0,C6,C6,F-6,0
390,4,0,0,F6,F-6,F6,0
391,4,0,0,Bb6,Bb6,Bb6,0
392,4,0,0,Eb-maj7,Eb6,Bb-6,0
393,4,0,0,F6,Bb6,F-6,0
394,4,0,0,Bb6,Bb6,Bb,0
395,4,0,0,Eb-maj7,Eb6,Eb6,0
396,4,0,0,Bb-6,A7#5,F-6,0
397,4,0,0,Eb6,Eb6,Eb6,0
398,4,0,0,Abm7b5,A7#5,Abm7b5,0
399,4,0,0,Ab-7,F6,G6,0
400,4,0,0,Db6,Bb6,F6,0
401,4,0,0,Eb-maj7,Gb-7,Ebm7b5,0
402,4,0,0,C6,A7#5,F-6,0
403,4,0,0,F6,F-6,F6,0
404,4,0,0,Bb6,Bb6,Bb6,0
405,4,0,0,C6,Eb6,Ebm7b5,0
406,4,0,0,F6,F6,F+,0
407,4,0,0,Bb6,Bb6,Bbm7b5,0
408,4,0,0,Eb-maj7,Eb6,Bb-6,0
409,4,0,0,Bb-6,Bb6,F-6,0
410,4,0,0,Eb6,Eb6,Eb6,0
411,4,0,0,Abm7b5,A7#5,Abm7b5,0
412,4,0,0,Ab6,F6,G6,0
413,4,0,0,Adim,Db6,G6,0
414,4,0,0,Eb-maj7,Eb6,Bb6,0
415,4,0,0,C6,C6,F-6,0
416,4,0,0,F6,F-6,F6,0
417,4,0,0,Bb6,Bb6,Bb-6,0
418,4,0,0,Eb-maj7,Eb6,Bb-6,0
419,4,0,0,F6,Bb6,F-6,0
420,4,0,0,Bb6,Bb6,Bb-6,0
421,4,0,0,Eb-maj7,Eb6,Eb6,0
422,4,0,0,Bb-6,A7#5,F-6,0
423,4,0,0,Eb6,Eb6,Eb6,0
424,4,0,0,Abm7b5,A7#5,A7#5,0
425,4,0,0,Ab-7,F6,Ab-6,0
426,4,0,0,Db6,Bb6,F6,0
427,4,0,0,Eb-maj7,Gb-7,F+,0
428,4,0,0,C6,A7#5,F-6,0
429,4,0,0,Eb6,F-6,F6,0
430,4,0,0,Bb6,C6,C6,0
431,4,0,0,C6,Eb6,Eb6,0
432,4,0,0,F6,F6,F-6,0
433,4,0,0,Bb6,Bb6,Bb-6,0
434,4,0,0,Db-7,Eb6,Eb6,0
435,4,0,0,Bb-6,Bb6,G-6,0
436,4,0,0,Eb6,Eb6,Eb6,0
437,4,0,0,Abm7b5,A7#5,Abm7b5,0
438,4,0,0,Ab6,F6,Db6,0
439,4,0,0,Adim,Db6,Db6,0
440,4,0,0,Eb-maj7,Eb6,Eb6,0
441,4,0,0,C6,C6,Bb-6,0
442,4,0,0,F6,F-6,F6,0
443,4,0,0,Bb6,Bb6,Bb6,0
444,4,0,0,Eb-maj7,Eb6,Eb6,0
445,4,0,0,F6,Bb6,Db6,0
446,4,0,0,Bb6,Bb6,Bb6,0
447,4,0,0,Eb-maj7,Eb6,Eb6,0
448,4,0,0,Bb-6,A7#5,Db6,0
449,4,0,0,Eb6,Eb6,Eb6,0
450,4,0,0,Abm7b5,A7#5,A7#5,0
451,4,0,0,Ab-7,F6,Db6,0
452,4,0,0,Db6,Bb6,Bb6,0
453,4,0,0,Eb-maj7,Gb-7,Bb6,0
454,4,0,0,C6,A7#5,Ab6,0
455,4,0,0,F6,F-6,F6,0
456,4,0,0,Bb6,Bb6,Bb6,0
457,4,0,0,C6,Eb6,Bb-6,0
458,4,0,0,F6,F6,F6,0
459,4,0,0,Bb6,Bb6,Bb6,0
460,4,0,0,Eb-maj7,Eb6,Eb6,0
461,4,0,0,Bb-6,Bb6,Db6,0
462,4,0,0,Eb6,Eb6,Eb6,0
463,4,0,0,Abm7b5,A7#5,A7#5,0
464,4,0,0,Ab6,F6,Db6,0
465,4,0,0,Adim,Db6,Db6,0
466,4,0,0,Eb-maj7,Eb6,Eb6,0
467,4,0,0,C6,C6,Db6,0
468,4,0,0,F6,F-6,F6,0
469,4,0,0,Bb6,Bb6,Bb6,0
470,4,0,0,Eb-maj7,Eb6,Eb6,0
471,5,0,0,Ab-7,Bb6,Db6,0
472,5,0,0,Ab-,Db6,Db6,0
473,5,0,0,Ab-,A7#5,A7#5,0
474,5,0,0,Db6,A7#5,A7#5,0
475,5,0,0,E7#5,A7#5,Gb-7,0
476,5,0,0,F-6,A7#5,Db6,0
477,5,0,0,G-6,Bb6,Bb6,0
478,5,0,0,C6,C6,C6,0
479,5,0,0,F-6,F-6,F-6,0
480,5,0,0,Edim,Bb-6,Bb-6,0
481,5,0,0,F-6,Eb-6,F-6,0
482,5,0,0,Bb6,Bb6,Bb-6,0
483,5,0,0,Bb7#5,Eb-6,Ebm7b5,0
484,5,0,0,F-6,Eb6,Bb-6,0
485,5,0,0,Bb6,Bb-6,Bb-6,0
486,5,0,0,Ebm7b5,Eb-6,Ebm7b5,0
487,5,0,0,G-6,Eb-6,Ab6,0
488,5,0,0,C-6,C6,C6,0
489,5,0,0,F6,F-6,F6,0
490,5,0,0,C-6,Bb-6,Bb-6,0
491,5,0,0,F6,F-6,F6,0
492,5,0,0,Bb6,Bb-6,Bb-6,0
493,5,0,0,Bbsus4,Bb-6,Ebm7b5,0
494,5,0,0,Bbdim,Eb6,Bb-6,0
495,5,0,0,Bb6,Eb6,Bb-6,0
496,5,0,0,Eb7,Eb-6,Ebm7b5,0
497,5,0,0,Ab-7,Ab6,Cdim,0
498,5,0,0,Ab-7,Db6,Db6,0
499,5,0,0,Ab-,Db6,G-6,0
500,5,0,0,Ab-,Db6,Bb-6,0
501,5,0,0,Db6,Db6,Bb-6,0
502,5,0,0,E7#5,C6,Bb-6,0
503,5,0,0,G-6,C6,F-6,0
504,5,0,0,C6,C6,C6,0
505,5,0,0,F-6,F-6,F-6,0
506,5,0,0,Ebsus47,Bb6,Bb6,0
507,5,0,0,F-6,F-6,F-6,0
508,5,0,0,Ab-6,Bb6,Bb-6,0
509,5,0,0,Db6,Db6,Db6,0
510,5,0,0,Ebm7b5,Bb-6,Eb6,0
511,5,0,0,C-6,Eb-6,A-6,0
512,5,0,0,G-6,F-6,F6,0
513,5,0,0,C6,C6,C6,0
514,5,0,0,F-6,F-6,F-6,0
515,5,0,0,Bb6,Bb6,Bb6,0
516,5,0,0,Eb-maj7,Eb-6,Ebm7b5,0
517,5,0,0,Bb-6,F-6,Db6,0
518,5,0,0,Eb6,Eb6,Eb6,0
519,5,0,0,Ab-7,Ab6,Abm7b5,0
520,5,0,0,Ab-7,Db6,G-6,0
521,5,0,0,Ab-,Db6,Db6,0
522,5,0,0,Ab-,Db6,Db6,0
523,5,0,0,Db6,Db6,Bb-6,0
524,5,0,0,E7#5,C6,C-6,0
525,5,0,0,G-6,C6,F-6,0
526,5,0,0,C6,C6,C6,0
527,5,0,0,F-6,F-6,F-6,0
528,5,0,0,Edim,Bb6,Bb-6,0
529,5,0,0,F-6,Eb-6,F-6,0
530,5,0,0,Bb6,Bb6,Db6,0
531,5,0,0,Bb7#5,Eb-6,Ebm7b5,0
532,5,0,0,F-6,Eb-6,A-6,0
533,5,0,0,Bb6,Bb6,Bb-6,0
534,5,0,0,E7#5,Eb-6,Ebm7b5,0
535,5,0,0,C-6,Ab6,D6,0
536,5,0,0,G-6,F-6,Bb-6,0
537,5,0,0,F6,C6,C6,0
538,5,0,0,C-6,F-6,Bb-6,0
539,5,0,0,F6,F-6,F6,0
540,5,0,0,Bb6,F-6,Bb-6,0
541,5,0,0,Bbsus4,Bb-6,Ebm7b5,0
542,5,0,0,Bbdim,Eb6,G-6,0
543,5,0,0,Bb6,Eb-6,Bb-6,0
544,5,0,0,Ab-7,Eb-6,Ebm7b5,0
545,5,0,0,Ab-7,Db6,Db6,0
546,5,0,0,Ab-,Db6,Db6,0
547,5,0,0,Ab-,Db6,Bb-6,0
548,5,0,0,Db6,Db6,Bb-6,0
549,5,0,0,Eb-maj7,C6,Eb6,0
550,5,0,0,G-6,F-6,C-6,0
551,5,0,0,C6,C6,C6,0
552,5,0,0,F-6,F-6,F-6,0
553,5,0,0,F-6,Bb6,Bb-6,0
554,5,0,0,Ab-6,Bb6,Bb-6,0
555,5,0,0,Db6,Db6,Db6,0
556,5,0,0,Ebm7b5,C6,Eb6,0
557,5,0,0,C-6,F-6,C-6,0
558,5,0,0,G-6,F-6,F6,0
559,5,0,0,C6,C6,C6,0
560,5,0,0,F-6,F-6,F-6,0
561,5,0,0,Bb6,Bb6,Bb-6,0
562,5,0,0,Ebm7b5,Ebm7b5,Bb-6,0
563,5,0,0,Bb-6,F-6,Ab6,0
564,5,0,0,Eb6,Eb6,Eb6,0
565,5,0,0,Ab-7,Ab6,Ab-7,0
566,5,0,0,Ab-7,Db6,G-6,0
567,6,0,0,Ab-7,Ab6,Ab6,0
568,6,0,0,Ab-7,Eb6,Eb-6,0
569,6,0,0,Ab-,Eb6,Eb-6,0
570,6,0,0,Db6,Eb6,A7#5,0
571,6,0,0,Ebm7b5,C6,Db6,0
572,6,0,0,G-6,F-6,Db6,0
573,6,0,0,C6,C6,C6,0
574,6,0,0,F-6,F-6,F-6,0
575,6,0,0,F-6,Bb6,Db6,0
576,6,0,0,Ab-6,Bb6,Db6,0
577,6,0,0,Db6,Db6,Db6,0
578,6,0,0,E7#5,Bb-6,C6,0
579,6,0,0,C-6,F-6,Db6,0
580,6,0,0,G-6,F-6,F6,0
581,6,0,0,C6,C6,C6,0
582,6,0,0,F-6,F-6,F-6,0
583,6,0,0,Bb6,Bb6,Db6,0
584,6,0,0,Eb6,Eb-6,Ebm7b5,0
585,6,0,0,Ab6,Ab6,Abm7b5,0
586,6,0,0,Eb6,Db6,Db6,0
587,6,0,0,Ab6,Ab6,Abm7b5,0
588,6,0,0,Eb6,Db6,Db6,0
589,6,0,0,Ab6,Ab6,Abm7b5,0
590,6,0,0,Eb6,Db6,Db6,0
591,6,0,0,Ab6,Ab6,B-7,0
592,6,0,0,Eb6,Db6,Db6,0
593,6,0,0,Ab6,Ab6,B-7,0
